Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Less than high school graduate:,Margin of Error; Less than high school graduate:,Estimate; Less than high school graduate: - In labor force:,Margin of Error; Less than high school graduate: - In labor force:,Estimate; Less than high school graduate: - In labor force: - In Armed Forces,Margin of Error; Less than high school graduate: - In labor force: - In Armed Forces,Estimate; Less than high school graduate: - In labor force: - Civilian:,Margin of Error; Less than high school graduate: - In labor force: - Civilian:,Estimate; Less than high school graduate: - In labor force: - Civilian: - Employed,Margin of Error; Less than high school graduate: - In labor force: - Civilian: - Employed,Estimate; Less than high school graduate: - In labor force: - Civilian: - Unemployed,Margin of Error; Less than high school graduate: - In labor force: - Civilian: - Unemployed,Estimate; Less than high school graduate: - Not in labor force,Margin of Error; Less than high school graduate: - Not in labor force,Estimate; High school graduate:,Margin of Error; High school graduate:,Estimate; High school graduate: - In labor force:,Margin of Error; High school graduate: - In labor force:,Estimate; High school graduate: - In labor force: - In Armed Forces,Margin of Error; High school graduate: - In labor force: - In Armed Forces,Estimate; High school graduate: - In labor force: - Civilian:,Margin of Error; High school graduate: - In labor force: - Civilian:,Estimate; High school graduate: - In labor force: - Civilian: - Employed,Margin of Error; High school graduate: - In labor force: - Civilian: - Employed,Estimate; High school graduate: - In labor force: - Civilian: - Unemployed,Margin of Error; High school graduate: - In labor force: - Civilian: - Unemployed,Estimate; High school graduate: - Not in labor force,Margin of Error; High school graduate: - Not in labor force
"Abilene, TX Metro Area",82270,1582,13820,1873,6484,1272,0,206,6484,1272,5347,1070,1137,620,7336,1366,25060,2273,16331,2017,242,230,16089,2007,15268,2047,821,437,8729,1335
"Akron, OH Metro Area",369311,1080,26613,2972,14519,2048,0,182,14519,2048,11338,1742,3181,982,12094,1975,120056,5351,91228,4194,0,182,91228,4194,82462,4125,8766,1850,28828,3019
"Albany, GA Metro Area",78159,1072,13689,2238,7681,1645,0,208,7681,1645,6202,1401,1479,905,6008,1154,21754,1689,14339,1433,28,56,14311,1432,12724,1307,1587,638,7415,1270
"Albany-Schenectady-Troy, NY Metro Area",466236,1818,29031,3211,16906,2415,0,185,16906,2415,13148,1964,3758,1071,12125,1666,116280,4738,87217,4081,172,168,87045,4092,79712,3902,7333,1374,29063,2816
"Albuquerque, NM Metro Area",476942,1656,51438,3778,30718,3015,0,185,30718,3015,26588,2984,4130,1110,20720,2151,119092,5832,83536,5036,172,159,83364,5059,75155,4352,8209,1825,35556,3180
"Alexandria, LA Metro Area",79560,598,11747,1561,5150,1114,0,193,5150,1114,4691,1077,459,268,6597,1310,28978,1980,19536,2203,0,193,19536,2203,17533,2000,2003,696,9442,1210
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",436689,1481,34860,2661,23429,2338,0,184,23429,2338,19317,2238,4112,919,11431,1574,147217,5315,112312,4898,77,130,112235,4901,103317,4792,8918,1373,34905,3166
"Altoona, PA Metro Area",65677,463,4260,909,1964,684,0,165,1964,684,1565,633,399,261,2296,681,31792,1614,23744,1645,0,165,23744,1645,22367,1635,1377,486,8048,998
"Amarillo, TX Metro Area",129504,1321,21172,2326,12864,1620,0,206,12864,1620,12323,1594,541,392,8308,1613,31938,2886,23043,2407,0,206,23043,2407,21985,2428,1058,631,8895,1694
"Ames, IA Metro Area",38731,1036,1557,692,1059,544,0,151,1059,544,1048,541,11,19,498,436,5706,1292,4407,1126,0,151,4407,1126,4299,1117,108,126,1299,507
"Anchorage, AK Metro Area",216784,1696,13678,2265,7327,1535,0,143,7327,1535,5955,1237,1372,653,6351,1263,56143,4027,42545,3234,83,87,42462,3244,38669,3152,3793,832,13598,1825
"Anderson, IN Metro Area",67636,655,7010,1046,3638,875,0,184,3638,875,2772,716,866,556,3372,628,24997,1890,16785,1860,0,184,16785,1860,14266,1693,2519,880,8212,1292
"Anderson, SC Metro Area",97594,769,14588,1943,7771,1481,0,197,7771,1481,5657,1260,2114,799,6817,1498,30381,2534,20927,2210,0,197,20927,2210,19076,2118,1851,786,9454,1501
"Ann Arbor, MI Metro Area",179603,589,9279,1556,5014,1040,0,161,5014,1040,4083,959,931,490,4265,1046,28355,2569,19432,2205,0,161,19432,2205,17161,1985,2271,719,8923,1378
"Anniston-Oxford, AL Metro Area",60448,730,11439,1567,6174,1211,0,184,6174,1211,5007,1126,1167,614,5265,1102,19594,1845,13459,1707,0,184,13459,1707,11879,1540,1580,631,6135,1096
"Appleton, WI Metro Area",124683,832,5848,1084,4413,995,0,145,4413,995,4040,908,373,342,1435,532,37756,2315,30863,2094,0,145,30863,2094,28994,2040,1869,648,6893,1006
"Asheville, NC Metro Area",228667,1672,25436,2867,15196,2061,0,193,15196,2061,12793,1850,2403,909,10240,1858,57767,3870,38994,2975,0,193,38994,2975,34939,2876,4055,902,18773,2169
"Athens-Clarke County, GA Metro Area",89748,1992,11752,1541,6358,1053,0,208,6358,1053,5626,958,732,405,5394,1177,22825,2000,16112,1678,33,69,16079,1685,14725,1630,1354,643,6713,1511
"Atlanta-Sandy Springs-Marietta, GA Metro Area",2984089,4399,325902,12655,203131,10584,0,208,203131,10584,170063,9775,33068,3555,122771,7882,697049,13919,515869,14186,119,183,515750,14162,453032,12863,62718,4900,181180,7826
"Atlantic City-Hammonton, NJ Metro Area",144803,652,22946,2554,16913,2201,0,192,16913,2201,12378,2009,4535,1483,6033,1316,44582,3554,35097,3107,52,86,35045,3120,29701,3065,5344,1290,9485,1577
"Auburn-Opelika, AL Metro Area",70139,1145,7966,1542,3516,937,0,184,3516,937,3273,845,243,319,4450,1367,18916,2423,14150,2129,294,303,13856,2116,12943,2086,913,496,4766,971
"Augusta-Richmond County, GA-SC Metro Area",298941,2466,36396,3678,16935,2192,0,184,16935,2192,13889,1919,3046,1066,19461,2607,87611,5055,61383,4651,338,243,61045,4602,55274,4320,5771,1394,26228,2652
"Austin-Round Rock-San Marcos, TX Metro Area",1017242,2029,116386,6626,80346,5280,0,206,80346,5280,71561,5295,8785,1597,36040,3637,194159,8649,147657,7797,280,378,147377,7772,135853,7194,11524,2016,46502,3725
"Bakersfield-Delano, CA Metro Area",423259,513,115833,5177,71967,4449,0,197,71967,4449,59419,4292,12548,1794,43866,3517,107908,5327,73871,4215,81,115,73790,4217,63974,4113,9816,1568,34037,2924
"Baltimore-Towson, MD Metro Area",1497989,1768,125496,6242,73757,5039,0,190,73757,5039,58833,4709,14924,1924,51739,3876,381579,9419,288268,7657,924,524,287344,7579,256791,7693,30553,3049,93311,4724
"Bangor, ME Metro Area",80890,525,4611,930,2075,596,0,155,2075,596,1858,570,217,149,2536,722,30346,2199,21019,2043,0,155,21019,2043,19428,2034,1591,634,9327,1316
"Barnstable Town, MA Metro Area",106964,1109,5990,1577,3337,1027,0,195,3337,1027,2816,977,521,383,2653,992,23928,2119,18689,1804,103,174,18586,1815,16639,1798,1947,744,5239,1063
"Baton Rouge, LA Metro Area",427753,2087,49576,3959,29336,3217,0,193,29336,3217,25063,2906,4273,1229,20240,2658,141022,6278,107276,5643,230,326,107046,5605,99988,5573,7058,1546,33746,2908
"Battle Creek, MI Metro Area",70335,424,6028,1007,3428,847,0,161,3428,847,2865,755,563,280,2600,740,22899,1688,15954,1537,0,161,15954,1537,12910,1514,3044,925,6945,1093
"Bay City, MI Metro Area",56301,570,4841,907,1983,576,0,161,1983,576,1737,560,246,196,2858,803,18976,1781,12080,1253,0,161,12080,1253,10336,1266,1744,555,6896,1280
"Beaumont-Port Arthur, TX Metro Area",203851,1069,29882,3209,15684,1987,0,206,15684,1987,13267,1907,2417,649,14198,2408,69132,3191,47186,2826,0,206,47186,2826,42987,2693,4199,1065,21946,2213
"Bellingham, WA Metro Area",104785,1291,9341,2448,5772,1922,0,192,5772,1922,5415,1916,357,425,3569,1345,22695,2622,16757,2311,51,89,16706,2307,14804,2224,1902,794,5938,1178
"Bend, OR Metro Area",87150,1256,6305,1603,4525,1439,0,193,4525,1439,4021,1359,504,414,1780,763,19650,2660,15001,2517,0,193,15001,2517,12858,2138,2143,1146,4649,1234
