Geography,Estimate; Some college or associate's degree:,Margin of Error; Some college or associate's degree:,Estimate; Some college or associate's degree: - In labor force:,Margin of Error; Some college or associate's degree: - In labor force:,Estimate; Some college or associate's degree: - In labor force: - In Armed Forces,Margin of Error; Some college or associate's degree: - In labor force: - In Armed Forces,Estimate; Some college or associate's degree: - In labor force: - Civilian:,Margin of Error; Some college or associate's degree: - In labor force: - Civilian:,Estimate; Some college or associate's degree: - In labor force: - Civilian: - Employed,Margin of Error; Some college or associate's degree: - In labor force: - Civilian: - Employed,Estimate; Some college or associate's degree: - In labor force: - Civilian: - Unemployed,Margin of Error; Some college or associate's degree: - In labor force: - Civilian: - Unemployed,Estimate; Some college or associate's degree: - Not in labor force,Margin of Error; Some college or associate's degree: - Not in labor force,Estimate; Bachelor's degree or higher:,Margin of Error; Bachelor's degree or higher:,Estimate; Bachelor's degree or higher: - In labor force:,Margin of Error; Bachelor's degree or higher: - In labor force:,Estimate; Bachelor's degree or higher: - In labor force: - In Armed Forces,Margin of Error; Bachelor's degree or higher: - In labor force: - In Armed Forces,Estimate; Bachelor's degree or higher: - In labor force: - Civilian:,Margin of Error; Bachelor's degree or higher: - In labor force: - Civilian:,Estimate; Bachelor's degree or higher: - In labor force: - Civilian: - Employed,Margin of Error; Bachelor's degree or higher: - In labor force: - Civilian: - Employed,Estimate; Bachelor's degree or higher: - In labor force: - Civilian: - Unemployed,Margin of Error; Bachelor's degree or higher: - In labor force: - Civilian: - Unemployed,Estimate; Bachelor's degree or higher: - Not in labor force,Margin of Error; Bachelor's degree or higher: - Not in labor force
"Abilene, TX Metro Area",26269,2060,20430,2075,705,307,19725,1978,18421,1902,1304,789,5839,1059,17121,1794,13488,1627,579,347,12909,1564,12770,1557,139,137,3633,826
"Akron, OH Metro Area",111011,4257,86994,3887,123,119,86871,3903,79172,3642,7699,1392,24017,2060,111631,4626,97736,4244,43,70,97693,4241,94492,4200,3201,888,13895,1627
"Albany, GA Metro Area",27819,2214,21299,2015,105,138,21194,2014,18370,1721,2824,751,6520,1146,14897,1703,12298,1634,247,249,12051,1611,11493,1472,558,507,2599,678
"Albany-Schenectady-Troy, NY Metro Area",151290,5266,126758,4999,756,367,126002,5036,117400,4846,8602,1613,24532,2581,169635,5509,146744,5174,572,510,146172,5083,142431,5036,3741,887,22891,1945
"Albuquerque, NM Metro Area",164901,6677,122337,6089,617,293,121720,6040,113275,5529,8445,1810,42564,4068,141511,5763,120155,5273,1179,623,118976,5222,114318,5071,4658,986,21356,2336
"Alexandria, LA Metro Area",24441,2246,17705,2042,468,466,17237,2084,16218,2003,1019,489,6736,1146,14394,1714,12147,1763,99,157,12048,1784,11963,1768,85,87,2247,662
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",127399,4350,105351,4266,23,40,105328,4265,98521,4158,6807,1253,22048,2042,127213,4979,112551,4509,94,135,112457,4517,107986,4499,4471,898,14662,1657
"Altoona, PA Metro Area",15933,1519,12272,1384,40,67,12232,1368,11255,1328,977,467,3661,763,13692,1365,11743,1296,0,165,11743,1296,11443,1273,300,227,1949,608
"Amarillo, TX Metro Area",48058,2956,37277,2775,30,54,37247,2769,35824,2775,1423,707,10781,1410,28336,2834,24642,2406,45,59,24597,2404,24197,2434,400,263,3694,927
"Ames, IA Metro Area",11167,1309,9434,1217,12,20,9422,1216,9254,1229,168,182,1733,507,20301,1600,18138,1560,33,54,18105,1566,17403,1575,702,487,2163,563
"Anchorage, AK Metro Area",78494,3417,63125,3321,2847,690,60278,3354,56814,3231,3464,1081,15369,2092,68469,3652,60039,3322,1047,472,58992,3277,57216,3320,1776,571,8430,1494
"Anderson, IN Metro Area",23102,1973,18196,1842,0,184,18196,1842,16729,1816,1467,601,4906,1119,12527,1324,10691,1171,0,184,10691,1171,10398,1143,293,211,1836,493
"Anderson, SC Metro Area",31974,2764,25394,2455,0,197,25394,2455,23833,2518,1561,775,6580,1227,20651,2586,17493,2240,0,197,17493,2240,16163,2160,1330,680,3158,870
"Ann Arbor, MI Metro Area",48836,2788,36963,2655,0,161,36963,2655,33535,2709,3428,853,11873,1493,93133,3372,79430,3318,24,42,79406,3323,77007,3244,2399,551,13703,1317
"Anniston-Oxford, AL Metro Area",19609,1909,15059,1831,28,48,15031,1830,12942,1801,2089,748,4550,978,9806,1721,7855,1532,121,195,7734,1545,7515,1500,219,159,1951,731
"Appleton, WI Metro Area",42769,2507,36481,2523,0,145,36481,2523,35125,2515,1356,453,6288,1094,38310,2732,34022,2618,0,145,34022,2618,33382,2586,640,308,4288,863
"Asheville, NC Metro Area",75560,4461,59976,3678,192,318,59784,3758,55616,3511,4168,1083,15584,1903,69904,4053,59231,3735,0,193,59231,3735,56758,3725,2473,940,10673,1475
"Athens-Clarke County, GA Metro Area",22310,2030,16994,1910,160,188,16834,1916,15840,1813,994,437,5316,1089,32861,2488,27047,2239,0,208,27047,2239,26316,2199,731,405,5814,1331
"Atlanta-Sandy Springs-Marietta, GA Metro Area",859542,14986,692888,14479,1550,603,691338,14402,622432,13569,68906,4839,166654,5970,1101596,16086,949286,14929,2257,828,947029,15005,894417,14907,52612,4459,152310,6657
"Atlantic City-Hammonton, NJ Metro Area",38282,2799,32301,2635,25,42,32276,2639,28943,2557,3333,1000,5981,1020,38993,3031,33224,2840,402,408,32822,2815,30868,2643,1954,725,5769,1255
"Auburn-Opelika, AL Metro Area",18751,2334,14209,1823,491,457,13718,1807,12663,1782,1055,605,4542,1145,24506,2266,20348,2052,481,372,19867,1968,19465,1961,402,332,4158,1166
"Augusta-Richmond County, GA-SC Metro Area",99876,4578,74053,3689,3462,1091,70591,3542,64622,3546,5969,1129,25823,2398,75058,4268,61856,3938,1588,514,60268,3931,57623,3745,2645,915,13202,1716
"Austin-Round Rock-San Marcos, TX Metro Area",289739,8335,240071,8255,801,502,239270,8332,225882,8367,13388,2164,49668,3243,416958,9032,361361,9386,710,501,360651,9408,347129,9043,13522,2020,55597,3824
"Bakersfield-Delano, CA Metro Area",134511,5491,96490,5368,407,219,96083,5364,86829,5377,9254,2065,38021,3339,65007,4684,52674,4146,276,141,52398,4157,50264,4115,2134,712,12333,1836
"Baltimore-Towson, MD Metro Area",410005,8593,336496,8421,5651,1249,330845,8199,304070,7943,26775,2445,73509,3728,580909,8599,517186,8481,4486,929,512700,8572,496593,8337,16107,2167,63723,4154
"Bangor, ME Metro Area",26262,1896,20619,1829,108,110,20511,1828,19219,1825,1292,516,5643,1106,19671,2046,17390,1939,179,261,17211,1940,16790,1973,421,280,2281,640
"Barnstable Town, MA Metro Area",33707,2566,27430,2230,127,157,27303,2223,26120,2152,1183,508,6277,1395,43339,3000,36070,2730,329,327,35741,2775,34032,2702,1709,548,7269,1309
"Baton Rouge, LA Metro Area",118477,5829,92374,5711,405,313,91969,5736,86781,5510,5188,1276,26103,2850,118678,5420,100601,5221,156,165,100445,5228,97574,5118,2871,771,18077,2174
"Battle Creek, MI Metro Area",26196,1943,20752,1684,26,44,20726,1677,19389,1600,1337,465,5444,1022,15212,1558,12498,1435,42,68,12456,1433,11962,1453,494,291,2714,776
